"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
16195,713150,114950,713150,114944,12,71311149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16224,713350,115050,713351,115045,12,71331150,12,12.5706059000605,12.5706059000605,0.4,"Sehr wertvoll"
16243,713450,115050,713453,115049,12,71341150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16262,713550,115050,713551,115045,12,71351150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16377,714550,115150,714552,115146,12,71451151,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16383,714650,114950,714653,114949,12,71461149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16386,714750,115050,714751,115046,12,71471150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16392,714850,115050,714852,115044,12,71481150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16400,714950,114950,714957,114946,12,71491149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16401,714950,115050,714952,115048,12,71491150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16409,715050,114850,715049,114843,12,71501148,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16410,715050,115050,715046,115048,12,71501150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16413,715050,148750,715049,148749,12,71501487,6,6.29021308693193,6.29021308693193,0.2,"Sehr wertvoll"
16414,715050,148850,715055,148848,12,71501488,6,6.29021308693193,6.29021308693193,0.2,"Sehr wertvoll"
16420,715150,114950,715154,114941,12,71511149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16424,715150,148750,715148,148743,12,71511487,6,6.29021308693193,6.29021308693193,0.2,"Sehr wertvoll"
16426,715250,114950,715251,114946,12,71521149,12,12.5706059000605,12.5706059000605,0.4,"Sehr wertvoll"
16428,715250,115050,715248,115047,12,71521150,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16452,715550,114850,715554,114851,12,71551148,12,12.5706059000605,12.5706059000605,0.4,"Sehr wertvoll"
16466,715650,114850,715644,114846,12,71561148,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16467,715650,114950,715651,114944,12,71561149,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16476,715750,114750,715753,114750,12,71571147,6,6.28530295003025,6.28530295003025,0.2,"Sehr wertvoll"
16484,715850,114850,715851,114843,12,71581148,6,6.30200073670538,6.30200073670538,0.2,"Sehr wertvoll"
16500,715950,114850,715951,114850,12,71591148,6,6.30200073670538,6.30200073670538,0.2,"Sehr wertvoll"
16510,716150,79550,716149,79547,12,71610795,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16538,716250,114650,716253,114648,12,71621146,6,6.30200073670538,6.30200073670538,0.2,"Sehr wertvoll"
16540,716350,81650,716354,81650,12,71630816,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16550,716450,81550,716450,81548,12,71640815,12,12.5258699040602,12.5258699040602,0.4,"Sehr wertvoll"
16552,716450,81650,716448,81645,12,71640816,12,12.5258699040602,12.5258699040602,0.4,"Sehr wertvoll"
16559,716450,114850,716451,114847,12,71641148,6,6.30200073670538,6.30200073670538,0.2,"Sehr wertvoll"
16564,716550,81650,716555,81650,12,71650816,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16601,716850,114950,716856,114947,12,71681149,6,6.30200073670538,6.30200073670538,0.2,"Sehr wertvoll"
16636,717250,80450,717260,80447,12,71720804,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16637,717250,83250,717250,83245,12,71720832,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16647,717350,80750,717351,80749,12,71730807,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16648,717350,81150,717353,81143,12,71730811,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16666,717350,83150,717352,83143,12,71730831,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16667,717350,83250,717355,83243,12,71730832,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16675,717450,83250,717460,83251,12,71740832,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16676,717450,102850,717451,102847,12,71741028,6,6.32644747457644,6.32644747457644,0.2,"Sehr wertvoll"
16681,717550,81450,717558,81440,12,71750814,12,12.5477827032308,12.5477827032308,0.4,"Sehr wertvoll"
16683,717550,83050,717554,83051,12,71750830,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16687,717550,102750,717554,102745,12,71751027,6,6.32644747457644,6.32644747457644,0.2,"Sehr wertvoll"
16688,717550,102850,717556,102847,12,71751028,6,6.32644747457644,6.32644747457644,0.2,"Sehr wertvoll"
16693,717650,83050,717650,83049,12,71760830,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16705,717750,82050,717756,82046,12,71770820,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16715,717850,81550,717859,81550,12,71780815,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16717,717850,83050,717858,83051,12,71780830,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16718,717850,83150,717849,83145,12,71780831,6,6.2629349520301,6.2629349520301,0.2,"Sehr wertvoll"
16735,717950,80950,717949,80950,12,71790809,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16738,717950,83150,717955,83147,12,71790831,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16747,718050,81050,718050,81045,12,71800810,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16754,718150,80850,718149,80848,12,71810808,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
16767,718350,81150,718350,81150,12,71830811,6,6.27389135161538,6.27389135161538,0.2,"Sehr wertvoll"
